id, parent_id, category_name
5176, 4882, 'ネズッポ科'
5177, 4899, 'ネズミギス科'
5178, 4900, 'ネズミザメ科'
5180, 4901, 'ノコギリザメ科'
5186, 4904, 'ハコフグ科'
5187, 4882, 'ハゼ科'
5192, 4882, 'ハタハタ科'
5193, 4882, 'ハタンポ科'
5188, 4882, 'ハタ科'
5189, 4902, 'ハダカイワシ科'
5190, 4903, 'ハダカエソ科'
5191, 4882, 'ハダカオオカミウオ科'
5194, 4882, 'ハチビキ科'
5197, 4894, 'ハマギギ科'
5198, 4861, 'ハモ科'
5199, 4861, 'ハリガネウミヘビ科'
5201, 4904, 'ハリセンボン科'
5185, 4887, 'バケダラ科'
5202, 4894, 'パンガシウス科'
5183, 4882, 'パーチ科'
5203, 4882, 'ヒイラギ科'
5204, 4876, 'ヒウチダイ科'
5205, 4876, 'ヒカリキンメダイ科'
7248, 4882, 'ヒシダイ科'
5210, 4882, 'ヒメジ科'
5211, 4882, 'ヒメツバメウオ科'
5208, 4903, 'ヒメ科'
5213, 4862, 'ヒラタエイ科'
5214, 4871, 'ヒラメ科'
7119, 4907, 'ヒレトガリザメ科'
5217, 4894, 'ヒレナマズ科'
5212, 4894, 'ピメロドゥス科'
5218, 4882, 'フエダイ科'
5219, 4882, 'フエフキダイ科'
5220, 4882, 'フォリディクティス科'
5221, 4904, 'フグ科'
5224, 4860, 'フサアンコウ科'
5225, 4859, 'フサイタチウオ科'
5230, 4858, 'フリソデウオ科'
5227, 4882, 'ブダイ科'
5231, 4893, 'ヘコアユ科'
5234, 4882, 'ヘビギンポ科'
5238, 4893, 'ヘラヤガラ科'
5232, 4904, 'ベニカワムキ科'
5233, 4906, 'ベニマトウダイ科'
5237, 4882, 'ベラギンポ科'
5235, 4882, 'ベラ科'
5243, 4911, 'ホウライエソ科'
5244, 4882, 'ホカケトラギス科'
5245, 4903, 'ホタテエソ科'
5247, 4882, 'ホタルジャコ科'
5248, 4911, 'ホテイエソ科'
5250, 4861, 'ホラアナゴ科'
14488, 4871, 'ボウズガレイ科'
5241, 4882, 'ボウズギンポ科'
5249, 4905, 'ボラ科'
5251, 4882, 'マカジキ科'
5253, 4876, 'マツカサウオ科'
5254, 4882, 'マツダイ科'
5255, 4906, 'マトウダイ科'
5256, 4882, 'マナガツオ科'
4994, 4882, 'マルスズキ科'
5257, 4882, 'マンジュウダイ科'
5258, 4904, 'マンボウ科'
5259, 4882, 'ミシマオコゼ科'
5260, 4903, 'ミズウオ科'
5262, 4860, 'ミツクリエナガチョウチンアンコウ科'
5263, 4900, 'ミツクリザメ科'
5265, 4882, 'ミハラハナダイ科'
5266, 4882, 'ムカシクロタチ科'
5267, 4882, 'ムツ科'
5269, 4911, 'ムネエソ科'
5271, 4882, 'メカジキ科'
5272, 4900, 'メガマウスザメ科'
5273, 4882, 'メギス科'
5274, 4882, 'メジナ科'
5275, 4907, 'メジロザメ科'
5276, 4886, 'メダカ科'
5277, 4882, 'メダマウオ科'
7871, 4882, 'メバル科'
7097, 4882, 'モロネ科'
5279, 4904, 'モンガラカワハギ科'
5281, 4893, 'ヤガラ科'
5282, 4882, 'ヤセムツ科'
5283, 4908, 'ヤツメウナギ科'
5284, 4882, 'ヤナギハゼ科'
5288, 4882, 'ユゴイ科'
5290, 4893, 'ヨウジウオ科'
5291, 4911, 'ヨコエソ科'
7134, 4890, 'ヨロイザメ科'
5294, 4910, 'ラブカ科'
7053, 4882, 'ラブリソムス科'
5295, 4858, 'リュウグウノツカイ科'
5296, 4894, 'ロリカリア科'
14506, 4871, 'ロンボソレア科'
5297, 4882, 'ワニギス科'
5298, 4911, 'ワニトカゲギス科'
5226, 4882, 'フサカサゴ科'
7136, 7135, 'アイザメ属'
5303, 5244, 'アイトラギス属'
5306, 5235, 'アウストロラブルス属'
34416, 5187, 'アウロパレイア属'
5307, 5056, 'アオウオ属'
5308, 5015, 'アオサハギ属'
5309, 5178, 'アオザメ属'
5310, 5157, 'アオスジトビエイ属'
5311, 5049, 'アオスミヤキ属'
5312, 5218, 'アオダイ属'
5313, 5218, 'アオチビキ属'
5315, 5227, 'アオブダイ属'
5317, 5259, 'アオミシマ属'
5318, 4917, 'アオメエソ属'
5321, 5188, 'アカイサキ属'
5323, 4919, 'アカエイ属'
5324, 4971, 'アカエソ属'
5325, 5011, 'アカガレイ属'
5326, 5032, 'アカギンザメ属'
5328, 4921, 'アカグツ属'
5331, 4923, 'アカザ属'
5335, 4925, 'アカナマダ属'
5336, 5187, 'アカハゼ属'
5337, 5210, 'アカヒメジ属'
20915, 5146, 'アカヒレイシモチ属'
5339, 4950, 'アカマツカサ属'
5340, 4926, 'アカマンボウ属'
5341, 5247, 'アカムツ属'
5344, 5279, 'アカモンガラ属'
16888, 5188, 'アカンティスティウス属'
7405, 5249, 'アゴノストムス属'
5349, 5187, 'アゴハゼ属'
5350, 5188, 'アゴハタ属'
5352, 5187, 'アサガラハゼ属'
5353, 5250, 'アサバホラアナゴ属'
5355, 5015, 'アザミカワハギ属'
5356, 5154, 'アジメドジョウ属'
16061, 5014, 'アスタトティラピア属'
7080, 5009, 'アスティアナクス属'
5359, 5014, 'アストロノタス属'
5358, 5188, 'アズキハタ属'
5360, 4958, 'アズマガレイ属'
5363, 5092, 'アツクチスズメダイ属'
5364, 4998, 'アティピクチス属'
5365, 5147, 'アテリノプシス属'
5366, 5146, 'アトヒキテンジクダイ属'
5367, 5173, 'アトラクトスキオン属'
7067, 7065, 'アトラクトステウス属'
5369, 5026, 'アナバス属'
